Observation id,SC18097,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,G:/Shirley/SUBSTRATE CHOICE/GH010957.MP4,,,,,,,
Player #1,G:/Shirley/SUBSTRATE CHOICE/GH020957.MP4,,,,,,,
,,,,,,,,
Observation date,2019-01-16 13:41:25,,,,,,,
,,,,,,,,
Description,4-1,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Comment,Status,
7.353,G:/Shirley/SUBSTRATE CHOICE/GH010957.MP4,1291.670,23.98,,in syringe,,,START
133.692,G:/Shirley/SUBSTRATE CHOICE/GH010957.MP4,1291.670,23.98,,in syringe,,,STOP
133.693,G:/Shirley/SUBSTRATE CHOICE/GH010957.MP4,1291.670,23.98,,on syringe,,,START
386.777,G:/Shirley/SUBSTRATE CHOICE/GH010957.MP4,1291.670,23.98,,on syringe,,,STOP
386.778,G:/Shirley/SUBSTRATE CHOICE/GH010957.MP4,1291.670,23.98,,sand,,,START
386.778,G:/Shirley/SUBSTRATE CHOICE/GH010957.MP4,1291.670,23.98,,sand jump,,,POINT
388.736,G:/Shirley/SUBSTRATE CHOICE/GH010957.MP4,1291.670,23.98,,sand,,,STOP
388.737,G:/Shirley/SUBSTRATE CHOICE/GH010957.MP4,1291.670,23.98,,rock,,,START
388.737,G:/Shirley/SUBSTRATE CHOICE/GH010957.MP4,1291.670,23.98,,rock jump,,,POINT
1286.079,G:/Shirley/SUBSTRATE CHOICE/GH020957.MP4,1291.670,23.98,,rock,,,STOP
